"country","year","hdpe","ldpe","o","pet","pp","ps","pvc","grand_total","continent","countrycode"
"Argentina",2019,215,55,607,1376,281,116,18,2668,"Americas","ARG"
"Australia",2019,0,0,0,3,0,0,0,3,"Oceania","AUS"
"Bangladesh",2019,0,0,16,0,0,0,0,16,"Asia","BGD"
"Benin",2019,0,0,0,4988,0,0,0,4988,"Africa","BEN"
"Bhutan",2019,0,0,0,3500,0,0,0,3500,"Asia","BTN"
"Brazil",2019,35,0,3582,220,887,10,0,4734,"Americas","BRA"
"Bulgaria",2019,0,0,0,8,0,0,0,8,"Europe","BGR"
"Burkina Faso",2019,0,2089,304,3254,113,52,6,5818,"Africa","BFA"
"Cameroon",2019,595,3425,1009,3263,284,10,9,8595,"Africa","CMR"
"Canada",2019,0,0,1,0,0,0,0,1,"Americas","CAN"
"China",2019,0,0,2276,1183,0,0,0,3459,"Asia","CHN"
"Colombia",2019,0,0,856,0,0,0,0,856,"Americas","COL"
"Cote D_ivoire",2019,53,0,0,0,0,0,0,53,"Africa","CIV"
"Cyprus",2019,0,0,0,24,0,0,0,24,"Asia","CYP"
"Ecuador",2019,0,0,11186,54,1475,0,0,12715,"Americas","ECU"
"Empty",2019,1535,6443,30181,11087,5420,2101,188,56955,"Unknown","Unknown"
"France",2019,0,0,0,15,0,0,0,15,"Europe","FRA"
"Germany",2019,0,0,280,1,0,0,0,281,"Europe","DEU"
"Ghana",2019,0,0,0,578,0,0,0,578,"Africa","GHA"
"Hong Kong",2019,307,7,1049,2198,143,4,0,3708,"Asia","HKG"
"India",2019,2,661,985,239,78,97,4,2066,"Asia","IND"
"Indonesia",2019,195,2798,4181,3558,1188,1365,24,13309,"Asia","IDN"
"Ireland",2019,0,0,0,1,0,0,0,1,"Europe","IRL"
"Italy",2019,0,0,1,86,603,0,0,690,"Europe","ITA"
"Japan",2019,0,6,22,6,43,3,4,84,"Asia","JPN"
"Kenya",2019,215,135,105,8892,127,20,0,9494,"Africa","KEN"
"Latvia",2019,80,2,2381,108,52,0,0,2623,"Europe","LVA"
"Luxembourg",2019,0,0,1,0,0,0,0,1,"Europe","LUX"
"Malaysia",2019,7,0,2755,1382,736,0,0,4880,"Asia","MYS"
"Maldives",2019,0,0,0,26,0,0,0,26,"Asia","MDV"
"Mexico",2019,28,22,315,175,61,37,0,638,"Americas","MEX"
"Montenegro",2019,53,0,909,3680,0,0,0,4642,"Europe","MNE"
"Nigeria",2019,3728,11700,28055,36226,708,120,33,80570,"Africa","NGA"
"Netherlands",2019,0,0,5064,3,0,0,0,5067,"Europe","NLD"
"Philippines",2019,1439,8671,19841,4906,1305,766,88,37016,"Asia","PHL"
"Portugal",2019,0,2,1000,2,0,0,0,1004,"Europe","PRT"
"Rwanda",2019,9,0,292,112,0,0,0,413,"Africa","RWA"
"Slovenia",2019,2,86,643,66,104,6,7,914,"Europe","SVN"
"South Africa",2019,0,0,900,5,0,0,0,905,"Africa","ZAF"
"Spain",2019,38,2,1888,63,0,0,0,1991,"Europe","ESP"
"Sri Lanka",2019,217,1120,658,466,831,527,52,3871,"Asia","LKA"
"Switzerland",2019,18,0,7072,102,140,169,0,7501,"Europe","CHE"
"Taiwan_ Republic Of China (Roc)",2019,0,0,120646,0,0,0,0,120646,"Asia","TWN"
"Tanzania",2019,0,0,163,1100,0,0,0,1263,"Africa","TZA"
"Thailand",2019,365,0,3,0,0,0,1,369,"Asia","THA"
"Tunisia",2019,0,0,0,40,0,0,0,40,"Africa","TUN"
"Turkey",2019,116,0,0,58,4,0,0,178,"Asia","TUR"
"Ukraine",2019,19,95,3896,678,84,66,0,4838,"Europe","UKR"
"United Arab Emirates",2019,0,0,1,11,0,0,0,12,"Asia","ARE"
"United Kingdom",2019,0,0,0,0,0,3,0,3,"Europe","GBR"
"United States",2019,20,169,975,169,2913,68,0,4314,"Americas","USA"
"Vietnam",2019,29,2101,4970,2986,408,350,43,10887,"Asia","VNM"
