"year","parent_company","countrycode","name","value"
2019,"Unbranded","ARG","hdpe",155
2019,"Unbranded","ARG","ldpe",50
2019,"Unbranded","ARG","o",532
2019,"Unbranded","ARG","pet",848
2019,"Unbranded","ARG","pp",122
2019,"Unbranded","ARG","ps",114
2019,"Unbranded","ARG","pvc",17
2019,"The Coca-Cola Company","ARG","hdpe",0
2019,"The Coca-Cola Company","ARG","ldpe",0
2019,"The Coca-Cola Company","ARG","o",0
2019,"The Coca-Cola Company","ARG","pet",222
2019,"The Coca-Cola Company","ARG","pp",35
2019,"The Coca-Cola Company","ARG","ps",0
2019,"The Coca-Cola Company","ARG","pvc",0
2019,"Secco","ARG","hdpe",0
2019,"Secco","ARG","ldpe",0
2019,"Secco","ARG","o",0
2019,"Secco","ARG","pet",39
2019,"Secco","ARG","pp",4
2019,"Secco","ARG","ps",0
2019,"Secco","ARG","pvc",0
2019,"Doble Cola","ARG","hdpe",0
2019,"Doble Cola","ARG","ldpe",0
2019,"Doble Cola","ARG","o",0
2019,"Doble Cola","ARG","pet",38
2019,"Doble Cola","ARG","pp",0
2019,"Doble Cola","ARG","ps",0
2019,"Doble Cola","ARG","pvc",0
2019,"Pritty","ARG","hdpe",0
2019,"Pritty","ARG","ldpe",0
2019,"Pritty","ARG","o",0
2019,"Pritty","ARG","pet",22
2019,"Pritty","ARG","pp",7
2019,"Pritty","ARG","ps",0
2019,"Pritty","ARG","pvc",0
2019,"PepsiCo","ARG","hdpe",0
2019,"PepsiCo","ARG","ldpe",0
2019,"PepsiCo","ARG","o",0
2019,"PepsiCo","ARG","pet",21
2019,"PepsiCo","ARG","pp",6
2019,"PepsiCo","ARG","ps",0
2019,"PepsiCo","ARG","pvc",0
2019,"Casoni","ARG","hdpe",0
2019,"Casoni","ARG","ldpe",0
2019,"Casoni","ARG","o",0
2019,"Casoni","ARG","pet",26
2019,"Casoni","ARG","pp",0
2019,"Casoni","ARG","ps",0
2019,"Casoni","ARG","pvc",0
2019,"Villa Del Sur - Levite","ARG","hdpe",0
2019,"Villa Del Sur - Levite","ARG","ldpe",0
2019,"Villa Del Sur - Levite","ARG","o",0
2019,"Villa Del Sur - Levite","ARG","pet",19
2019,"Villa Del Sur - Levite","ARG","pp",1
2019,"Villa Del Sur - Levite","ARG","ps",0
2019,"Villa Del Sur - Levite","ARG","pvc",0
2019,"Manaos","ARG","hdpe",0
2019,"Manaos","ARG","ldpe",0
2019,"Manaos","ARG","o",0
2019,"Manaos","ARG","pet",14
2019,"Manaos","ARG","pp",4
2019,"Manaos","ARG","ps",0
2019,"Manaos","ARG","pvc",0
2019,"La Bichy Ahora","ARG","hdpe",0
2019,"La Bichy Ahora","ARG","ldpe",0
2019,"La Bichy Ahora","ARG","o",0
2019,"La Bichy Ahora","ARG","pet",14
2019,"La Bichy Ahora","ARG","pp",3
2019,"La Bichy Ahora","ARG","ps",0
2019,"La Bichy Ahora","ARG","pvc",0
2019,"Villavicencio","ARG","hdpe",0
2019,"Villavicencio","ARG","ldpe",0
2019,"Villavicencio","ARG","o",0
2019,"Villavicencio","ARG","pet",14
2019,"Villavicencio","ARG","pp",1
2019,"Villavicencio","ARG","ps",0
2019,"Villavicencio","ARG","pvc",0
2019,"Eco De Los Andes","ARG","hdpe",0
2019,"Eco De Los Andes","ARG","ldpe",0
2019,"Eco De Los Andes","ARG","o",0
2019,"Eco De Los Andes","ARG","pet",14
2019,"Eco De Los Andes","ARG","pp",0
2019,"Eco De Los Andes","ARG","ps",0
2019,"Eco De Los Andes","ARG","pvc",0
2019,"Cavatini","ARG","hdpe",0
2019,"Cavatini","ARG","ldpe",0
2019,"Cavatini","ARG","o",13
2019,"Cavatini","ARG","pet",0
2019,"Cavatini","ARG","pp",0
2019,"Cavatini","ARG","ps",0
2019,"Cavatini","ARG","pvc",0
2019,"Villa Del Sur","ARG","hdpe",0
2019,"Villa Del Sur","ARG","ldpe",0
2019,"Villa Del Sur","ARG","o",0
2019,"Villa Del Sur","ARG","pet",8
2019,"Villa Del Sur","ARG","pp",3
2019,"Villa Del Sur","ARG","ps",0
2019,"Villa Del Sur","ARG","pvc",0
2019,"Cepita","ARG","hdpe",0
2019,"Cepita","ARG","ldpe",0
2019,"Cepita","ARG","o",0
2019,"Cepita","ARG","pet",9
2019,"Cepita","ARG","pp",0
2019,"Cepita","ARG","ps",0
2019,"Cepita","ARG","pvc",0
2019,"Livra","ARG","hdpe",0
2019,"Livra","ARG","ldpe",0
2019,"Livra","ARG","o",0
2019,"Livra","ARG","pet",5
2019,"Livra","ARG","pp",4
2019,"Livra","ARG","ps",0
2019,"Livra","ARG","pvc",0
2019,"Nestlé","ARG","hdpe",1
2019,"Nestlé","ARG","ldpe",0
2019,"Nestlé","ARG","o",0
2019,"Nestlé","ARG","pet",6
2019,"Nestlé","ARG","pp",2
2019,"Nestlé","ARG","ps",0
2019,"Nestlé","ARG","pvc",0
2019,"Vino Toro","ARG","hdpe",0
2019,"Vino Toro","ARG","ldpe",0
2019,"Vino Toro","ARG","o",8
2019,"Vino Toro","ARG","pet",0
2019,"Vino Toro","ARG","pp",0
2019,"Vino Toro","ARG","ps",0
2019,"Vino Toro","ARG","pvc",0
2019,"Frutafiel","ARG","hdpe",0
2019,"Frutafiel","ARG","ldpe",0
2019,"Frutafiel","ARG","o",0
2019,"Frutafiel","ARG","pet",6
2019,"Frutafiel","ARG","pp",1
2019,"Frutafiel","ARG","ps",0
2019,"Frutafiel","ARG","pvc",0
2019,"Unilever","ARG","hdpe",1
2019,"Unilever","ARG","ldpe",0
2019,"Unilever","ARG","o",3
2019,"Unilever","ARG","pet",1
2019,"Unilever","ARG","pp",2
2019,"Unilever","ARG","ps",0
2019,"Unilever","ARG","pvc",0
2019,"Arcor","ARG","hdpe",0
2019,"Arcor","ARG","ldpe",0
2019,"Arcor","ARG","o",1
2019,"Arcor","ARG","pet",0
2019,"Arcor","ARG","pp",5
2019,"Arcor","ARG","ps",0
2019,"Arcor","ARG","pvc",0
2019,"SC Johnson","ARG","hdpe",1
2019,"SC Johnson","ARG","ldpe",1
2019,"SC Johnson","ARG","o",3
2019,"SC Johnson","ARG","pet",0
2019,"SC Johnson","ARG","pp",0
2019,"SC Johnson","ARG","ps",0
2019,"SC Johnson","ARG","pvc",0
2019,"Seven Up","ARG","hdpe",0
2019,"Seven Up","ARG","ldpe",0
2019,"Seven Up","ARG","o",0
2019,"Seven Up","ARG","pet",5
2019,"Seven Up","ARG","pp",0
2019,"Seven Up","ARG","ps",0
2019,"Seven Up","ARG","pvc",0
2019,"Dea","ARG","hdpe",0
2019,"Dea","ARG","ldpe",0
2019,"Dea","ARG","o",0
2019,"Dea","ARG","pet",3
2019,"Dea","ARG","pp",2
2019,"Dea","ARG","ps",0
2019,"Dea","ARG","pvc",0
2019,"Sierra De Los Padres","ARG","hdpe",0
2019,"Sierra De Los Padres","ARG","ldpe",0
2019,"Sierra De Los Padres","ARG","o",0
2019,"Sierra De Los Padres","ARG","pet",4
2019,"Sierra De Los Padres","ARG","pp",1
2019,"Sierra De Los Padres","ARG","ps",0
2019,"Sierra De Los Padres","ARG","pvc",0
2019,"The Clorox Group","ARG","hdpe",4
