"continent","country","countrycode","parent_company","plastic_type","n_pieces"
"Amerika","Argentinien","AR","Unbranded","hdpe",155
"Amerika","Argentinien","AR","Unbranded","ldpe",50
"Amerika","Argentinien","AR","Unbranded","o",532
"Amerika","Argentinien","AR","Unbranded","pet",848
"Amerika","Argentinien","AR","Unbranded","pp",122
"Amerika","Argentinien","AR","Unbranded","ps",114
"Amerika","Argentinien","AR","Unbranded","pvc",17
"Amerika","Argentinien","AR","The Coca-Cola Company","hdpe",0
"Amerika","Argentinien","AR","The Coca-Cola Company","ldpe",0
"Amerika","Argentinien","AR","The Coca-Cola Company","o",0
"Amerika","Argentinien","AR","The Coca-Cola Company","pet",222
"Amerika","Argentinien","AR","The Coca-Cola Company","pp",35
"Amerika","Argentinien","AR","The Coca-Cola Company","ps",0
"Amerika","Argentinien","AR","The Coca-Cola Company","pvc",0
"Amerika","Argentinien","AR","Secco","hdpe",0
"Amerika","Argentinien","AR","Secco","ldpe",0
"Amerika","Argentinien","AR","Secco","o",0
"Amerika","Argentinien","AR","Secco","pet",39
"Amerika","Argentinien","AR","Secco","pp",4
"Amerika","Argentinien","AR","Secco","ps",0
"Amerika","Argentinien","AR","Secco","pvc",0
"Amerika","Argentinien","AR","Doble Cola","hdpe",0
"Amerika","Argentinien","AR","Doble Cola","ldpe",0
"Amerika","Argentinien","AR","Doble Cola","o",0
"Amerika","Argentinien","AR","Doble Cola","pet",38
"Amerika","Argentinien","AR","Doble Cola","pp",0
"Amerika","Argentinien","AR","Doble Cola","ps",0
"Amerika","Argentinien","AR","Doble Cola","pvc",0
"Amerika","Argentinien","AR","Pritty","hdpe",0
"Amerika","Argentinien","AR","Pritty","ldpe",0
"Amerika","Argentinien","AR","Pritty","o",0
"Amerika","Argentinien","AR","Pritty","pet",22
"Amerika","Argentinien","AR","Pritty","pp",7
"Amerika","Argentinien","AR","Pritty","ps",0
"Amerika","Argentinien","AR","Pritty","pvc",0
"Amerika","Argentinien","AR","PepsiCo","hdpe",0
"Amerika","Argentinien","AR","PepsiCo","ldpe",0
"Amerika","Argentinien","AR","PepsiCo","o",0
"Amerika","Argentinien","AR","PepsiCo","pet",21
"Amerika","Argentinien","AR","PepsiCo","pp",6
"Amerika","Argentinien","AR","PepsiCo","ps",0
"Amerika","Argentinien","AR","PepsiCo","pvc",0
"Amerika","Argentinien","AR","Casoni","hdpe",0
"Amerika","Argentinien","AR","Casoni","ldpe",0
"Amerika","Argentinien","AR","Casoni","o",0
"Amerika","Argentinien","AR","Casoni","pet",26
"Amerika","Argentinien","AR","Casoni","pp",0
"Amerika","Argentinien","AR","Casoni","ps",0
"Amerika","Argentinien","AR","Casoni","pvc",0
"Amerika","Argentinien","AR","Villa Del Sur - Levite","hdpe",0
"Amerika","Argentinien","AR","Villa Del Sur - Levite","ldpe",0
"Amerika","Argentinien","AR","Villa Del Sur - Levite","o",0
"Amerika","Argentinien","AR","Villa Del Sur - Levite","pet",19
"Amerika","Argentinien","AR","Villa Del Sur - Levite","pp",1
"Amerika","Argentinien","AR","Villa Del Sur - Levite","ps",0
"Amerika","Argentinien","AR","Villa Del Sur - Levite","pvc",0
"Amerika","Argentinien","AR","Manaos","hdpe",0
"Amerika","Argentinien","AR","Manaos","ldpe",0
"Amerika","Argentinien","AR","Manaos","o",0
"Amerika","Argentinien","AR","Manaos","pet",14
"Amerika","Argentinien","AR","Manaos","pp",4
"Amerika","Argentinien","AR","Manaos","ps",0
"Amerika","Argentinien","AR","Manaos","pvc",0
"Amerika","Argentinien","AR","La Bichy Ahora","hdpe",0
"Amerika","Argentinien","AR","La Bichy Ahora","ldpe",0
"Amerika","Argentinien","AR","La Bichy Ahora","o",0
"Amerika","Argentinien","AR","La Bichy Ahora","pet",14
"Amerika","Argentinien","AR","La Bichy Ahora","pp",3
"Amerika","Argentinien","AR","La Bichy Ahora","ps",0
"Amerika","Argentinien","AR","La Bichy Ahora","pvc",0
"Amerika","Argentinien","AR","Villavicencio","hdpe",0
"Amerika","Argentinien","AR","Villavicencio","ldpe",0
"Amerika","Argentinien","AR","Villavicencio","o",0
"Amerika","Argentinien","AR","Villavicencio","pet",14
"Amerika","Argentinien","AR","Villavicencio","pp",1
"Amerika","Argentinien","AR","Villavicencio","ps",0
"Amerika","Argentinien","AR","Villavicencio","pvc",0
"Amerika","Argentinien","AR","Eco De Los Andes","hdpe",0
"Amerika","Argentinien","AR","Eco De Los Andes","ldpe",0
"Amerika","Argentinien","AR","Eco De Los Andes","o",0
"Amerika","Argentinien","AR","Eco De Los Andes","pet",14
"Amerika","Argentinien","AR","Eco De Los Andes","pp",0
"Amerika","Argentinien","AR","Eco De Los Andes","ps",0
"Amerika","Argentinien","AR","Eco De Los Andes","pvc",0
"Amerika","Argentinien","AR","Cavatini","hdpe",0
"Amerika","Argentinien","AR","Cavatini","ldpe",0
"Amerika","Argentinien","AR","Cavatini","o",13
"Amerika","Argentinien","AR","Cavatini","pet",0
"Amerika","Argentinien","AR","Cavatini","pp",0
"Amerika","Argentinien","AR","Cavatini","ps",0
"Amerika","Argentinien","AR","Cavatini","pvc",0
"Amerika","Argentinien","AR","Villa Del Sur","hdpe",0
"Amerika","Argentinien","AR","Villa Del Sur","ldpe",0
