"continent","country","countrycode","n_pieces","n_volunteers","n_events"
"Afrika","Benin","BJ",4988,2328,1
"Afrika","Burkina Faso","BF",5818,235,1
"Afrika","Elfenbeinküste","CI",53,1500,1
"Afrika","Ghana","GH",578,1100,3
"Afrika","Kamerun","CM",8595,387,10
"Afrika","Kenia","KE",9494,1560,5
"Afrika","Nigeria","NG",80570,1648,14
"Afrika","Ruanda","RW",413,82,2
"Afrika","Südafrika","ZA",905,511,2
"Afrika","Tansania","TZ",1263,103,21
"Afrika","Tunesien","TN",40,32,1
"Amerika","Argentinien","AR",2668,243,4
"Amerika","Brasilien","BR",4734,419,3
"Amerika","Ecuador","EC",12715,455,1
"Amerika","Kanada","CA",1,9,1
"Amerika","Kolumbien","CO",856,5253,1
"Amerika","Mexiko","MX",638,48,7
"Amerika","Vereinigte Staaten","US",4314,740,42
"Asien","Bangladesch","BD",16,100,1
"Asien","Bhutan","BT",3500,5300,1
"Asien","China","CN",3459,1439,48
"Asien","Hongkong","HK",3708,67,7
"Asien","Indien","IN",2066,88,4
"Asien","Indonesien","ID",13309,6850,32
"Asien","Japan","JP",84,1293,35
"Asien","Malaysia","MY",4880,300,1
"Asien","Malediven","MV",26,2,1
"Asien","Philippinen","PH",37016,3751,20
"Asien","Sri Lanka","LK",3871,48,2
"Asien","Taiwan","TW",120646,31318,2
"Asien","Thailand","TH",369,374,5
"Asien","Türkei","TR",178,312,4
"Asien","Vereinigte Arabische Emirate","AE",12,3,1
"Asien","Vietnam","VN",10887,400,4
"Asien","Zypern","CY",24,30,1
"Europa","Bulgarien","BG",8,15,1
"Europa","Deutschland","DE",281,15,2
"Europa","Frankreich","FR",15,13,1
"Europa","Großbritannien","GB",3,21,1
"Europa","Irland","IE",1,1,1
"Europa","Italien","IT",690,175,9
"Europa","Lettland","LV",2623,13,1
"Europa","Luxemburg","LU",1,21,1
"Europa","Montenegro","ME",4642,563,1
"Europa","Niederlande","NL",5067,827,2
"Europa","Portugal","PT",1004,43,2
"Europa","Schweiz","CH",7501,327,6
"Europa","Slowenien","SI",914,9,1
"Europa","Spanien","ES",1991,330,12
"Europa","Ukraine","UA",4838,114,7
"Ozeanien","Australien","AU",3,5,1
