"continent","country","parent_company","plastic_type","n_pieces"
"Americas","Argentina","Unbranded","hdpe",155
"Americas","Argentina","Unbranded","ldpe",50
"Americas","Argentina","Unbranded","o",532
"Americas","Argentina","Unbranded","pet",848
"Americas","Argentina","Unbranded","pp",122
"Americas","Argentina","Unbranded","ps",114
"Americas","Argentina","Unbranded","pvc",17
"Americas","Argentina","The Coca-Cola Company","hdpe",0
"Americas","Argentina","The Coca-Cola Company","ldpe",0
"Americas","Argentina","The Coca-Cola Company","o",0
"Americas","Argentina","The Coca-Cola Company","pet",222
"Americas","Argentina","The Coca-Cola Company","pp",35
"Americas","Argentina","The Coca-Cola Company","ps",0
"Americas","Argentina","The Coca-Cola Company","pvc",0
"Americas","Argentina","Secco","hdpe",0
"Americas","Argentina","Secco","ldpe",0
"Americas","Argentina","Secco","o",0
"Americas","Argentina","Secco","pet",39
"Americas","Argentina","Secco","pp",4
"Americas","Argentina","Secco","ps",0
"Americas","Argentina","Secco","pvc",0
"Americas","Argentina","Doble Cola","hdpe",0
"Americas","Argentina","Doble Cola","ldpe",0
"Americas","Argentina","Doble Cola","o",0
"Americas","Argentina","Doble Cola","pet",38
"Americas","Argentina","Doble Cola","pp",0
"Americas","Argentina","Doble Cola","ps",0
"Americas","Argentina","Doble Cola","pvc",0
"Americas","Argentina","Pritty","hdpe",0
"Americas","Argentina","Pritty","ldpe",0
"Americas","Argentina","Pritty","o",0
"Americas","Argentina","Pritty","pet",22
"Americas","Argentina","Pritty","pp",7
"Americas","Argentina","Pritty","ps",0
"Americas","Argentina","Pritty","pvc",0
"Americas","Argentina","PepsiCo","hdpe",0
"Americas","Argentina","PepsiCo","ldpe",0
"Americas","Argentina","PepsiCo","o",0
"Americas","Argentina","PepsiCo","pet",21
"Americas","Argentina","PepsiCo","pp",6
"Americas","Argentina","PepsiCo","ps",0
"Americas","Argentina","PepsiCo","pvc",0
"Americas","Argentina","Casoni","hdpe",0
"Americas","Argentina","Casoni","ldpe",0
"Americas","Argentina","Casoni","o",0
"Americas","Argentina","Casoni","pet",26
"Americas","Argentina","Casoni","pp",0
"Americas","Argentina","Casoni","ps",0
"Americas","Argentina","Casoni","pvc",0
"Americas","Argentina","Villa Del Sur - Levite","hdpe",0
"Americas","Argentina","Villa Del Sur - Levite","ldpe",0
"Americas","Argentina","Villa Del Sur - Levite","o",0
"Americas","Argentina","Villa Del Sur - Levite","pet",19
"Americas","Argentina","Villa Del Sur - Levite","pp",1
"Americas","Argentina","Villa Del Sur - Levite","ps",0
"Americas","Argentina","Villa Del Sur - Levite","pvc",0
"Americas","Argentina","Manaos","hdpe",0
"Americas","Argentina","Manaos","ldpe",0
"Americas","Argentina","Manaos","o",0
"Americas","Argentina","Manaos","pet",14
"Americas","Argentina","Manaos","pp",4
"Americas","Argentina","Manaos","ps",0
"Americas","Argentina","Manaos","pvc",0
"Americas","Argentina","La Bichy Ahora","hdpe",0
"Americas","Argentina","La Bichy Ahora","ldpe",0
"Americas","Argentina","La Bichy Ahora","o",0
"Americas","Argentina","La Bichy Ahora","pet",14
"Americas","Argentina","La Bichy Ahora","pp",3
"Americas","Argentina","La Bichy Ahora","ps",0
"Americas","Argentina","La Bichy Ahora","pvc",0
"Americas","Argentina","Villavicencio","hdpe",0
"Americas","Argentina","Villavicencio","ldpe",0
"Americas","Argentina","Villavicencio","o",0
"Americas","Argentina","Villavicencio","pet",14
"Americas","Argentina","Villavicencio","pp",1
"Americas","Argentina","Villavicencio","ps",0
"Americas","Argentina","Villavicencio","pvc",0
"Americas","Argentina","Eco De Los Andes","hdpe",0
"Americas","Argentina","Eco De Los Andes","ldpe",0
"Americas","Argentina","Eco De Los Andes","o",0
"Americas","Argentina","Eco De Los Andes","pet",14
"Americas","Argentina","Eco De Los Andes","pp",0
"Americas","Argentina","Eco De Los Andes","ps",0
"Americas","Argentina","Eco De Los Andes","pvc",0
"Americas","Argentina","Cavatini","hdpe",0
"Americas","Argentina","Cavatini","ldpe",0
"Americas","Argentina","Cavatini","o",13
"Americas","Argentina","Cavatini","pet",0
"Americas","Argentina","Cavatini","pp",0
"Americas","Argentina","Cavatini","ps",0
"Americas","Argentina","Cavatini","pvc",0
"Americas","Argentina","Villa Del Sur","hdpe",0
"Americas","Argentina","Villa Del Sur","ldpe",0
"Americas","Argentina","Villa Del Sur","o",0
"Americas","Argentina","Villa Del Sur","pet",8
"Americas","Argentina","Villa Del Sur","pp",3
"Americas","Argentina","Villa Del Sur","ps",0
"Americas","Argentina","Villa Del Sur","pvc",0
"Americas","Argentina","Cepita","hdpe",0
"Americas","Argentina","Cepita","ldpe",0
"Americas","Argentina","Cepita","o",0
"Americas","Argentina","Cepita","pet",9
"Americas","Argentina","Cepita","pp",0
"Americas","Argentina","Cepita","ps",0
"Americas","Argentina","Cepita","pvc",0
"Americas","Argentina","Livra","hdpe",0
"Americas","Argentina","Livra","ldpe",0
"Americas","Argentina","Livra","o",0
"Americas","Argentina","Livra","pet",5
"Americas","Argentina","Livra","pp",4
"Americas","Argentina","Livra","ps",0
"Americas","Argentina","Livra","pvc",0
"Americas","Argentina","Nestlé","hdpe",1
"Americas","Argentina","Nestlé","ldpe",0
"Americas","Argentina","Nestlé","o",0
"Americas","Argentina","Nestlé","pet",6
"Americas","Argentina","Nestlé","pp",2
"Americas","Argentina","Nestlé","ps",0
"Americas","Argentina","Nestlé","pvc",0
"Americas","Argentina","Vino Toro","hdpe",0
"Americas","Argentina","Vino Toro","ldpe",0
"Americas","Argentina","Vino Toro","o",8
"Americas","Argentina","Vino Toro","pet",0
"Americas","Argentina","Vino Toro","pp",0
"Americas","Argentina","Vino Toro","ps",0
"Americas","Argentina","Vino Toro","pvc",0
"Americas","Argentina","Frutafiel","hdpe",0
"Americas","Argentina","Frutafiel","ldpe",0
"Americas","Argentina","Frutafiel","o",0
"Americas","Argentina","Frutafiel","pet",6
"Americas","Argentina","Frutafiel","pp",1
"Americas","Argentina","Frutafiel","ps",0
"Americas","Argentina","Frutafiel","pvc",0
"Americas","Argentina","Unilever","hdpe",1
"Americas","Argentina","Unilever","ldpe",0
"Americas","Argentina","Unilever","o",3
"Americas","Argentina","Unilever","pet",1
"Americas","Argentina","Unilever","pp",2
"Americas","Argentina","Unilever","ps",0
"Americas","Argentina","Unilever","pvc",0
"Americas","Argentina","Arcor","hdpe",0
"Americas","Argentina","Arcor","ldpe",0
"Americas","Argentina","Arcor","o",1
"Americas","Argentina","Arcor","pet",0
"Americas","Argentina","Arcor","pp",5
"Americas","Argentina","Arcor","ps",0
"Americas","Argentina","Arcor","pvc",0
"Americas","Argentina","SC Johnson","hdpe",1
"Americas","Argentina","SC Johnson","ldpe",1
"Americas","Argentina","SC Johnson","o",3
"Americas","Argentina","SC Johnson","pet",0
"Americas","Argentina","SC Johnson","pp",0
"Americas","Argentina","SC Johnson","ps",0
"Americas","Argentina","SC Johnson","pvc",0
"Americas","Argentina","Seven Up","hdpe",0
"Americas","Argentina","Seven Up","ldpe",0
"Americas","Argentina","Seven Up","o",0
"Americas","Argentina","Seven Up","pet",5
"Americas","Argentina","Seven Up","pp",0
"Americas","Argentina","Seven Up","ps",0
"Americas","Argentina","Seven Up","pvc",0
"Americas","Argentina","Dea","hdpe",0
"Americas","Argentina","Dea","ldpe",0
"Americas","Argentina","Dea","o",0
"Americas","Argentina","Dea","pet",3
"Americas","Argentina","Dea","pp",2
"Americas","Argentina","Dea","ps",0
"Americas","Argentina","Dea","pvc",0
"Americas","Argentina","Sierra De Los Padres","hdpe",0
"Americas","Argentina","Sierra De Los Padres","ldpe",0
"Americas","Argentina","Sierra De Los Padres","o",0
"Americas","Argentina","Sierra De Los Padres","pet",4
"Americas","Argentina","Sierra De Los Padres","pp",1
"Americas","Argentina","Sierra De Los Padres","ps",0
"Americas","Argentina","Sierra De Los Padres","pvc",0
"Americas","Argentina","The Clorox Group","hdpe",4
"Americas","Argentina","The Clorox Group","ldpe",0
"Americas","Argentina","The Clorox Group","o",0
"Americas","Argentina","The Clorox Group","pet",0
"Americas","Argentina","The Clorox Group","pp",1
"Americas","Argentina","The Clorox Group","ps",0
"Americas","Argentina","The Clorox Group","pvc",0
"Americas","Argentina","Goliat","hdpe",0
"Americas","Argentina","Goliat","ldpe",0
"Americas","Argentina","Goliat","o",0
"Americas","Argentina","Goliat","pet",2
"Americas","Argentina","Goliat","pp",2
"Americas","Argentina","Goliat","ps",0
"Americas","Argentina","Goliat","pvc",0
"Americas","Argentina","Pipas","hdpe",0
"Americas","Argentina","Pipas","ldpe",0
"Americas","Argentina","Pipas","o",0
"Americas","Argentina","Pipas","pet",0
"Americas","Argentina","Pipas","pp",4
"Americas","Argentina","Pipas","ps",0
"Americas","Argentina","Pipas","pvc",0
"Americas","Argentina","Mondelez International","hdpe",0
"Americas","Argentina","Mondelez International","ldpe",0
"Americas","Argentina","Mondelez International","o",0
"Americas","Argentina","Mondelez International","pet",0
"Americas","Argentina","Mondelez International","pp",4
"Americas","Argentina","Mondelez International","ps",0
"Americas","Argentina","Mondelez International","pvc",0
"Americas","Argentina","Dr Pepper Snapple Group","hdpe",0
"Americas","Argentina","Dr Pepper Snapple Group","ldpe",0
"Americas","Argentina","Dr Pepper Snapple Group","o",1
"Americas","Argentina","Dr Pepper Snapple Group","pet",3
"Americas","Argentina","Dr Pepper Snapple Group","pp",0
