"continent","country","parent_company","plastic_type","n_pieces","total_per_country","rel_freq"
"Americas","Argentina","Unbranded","hdpe",155,1838,0.084
"Americas","Argentina","Unbranded","ldpe",50,1838,0.027
"Americas","Argentina","Unbranded","o",532,1838,0.289
"Americas","Argentina","Unbranded","pet",848,1838,0.461
"Americas","Argentina","Unbranded","pp",122,1838,0.066
"Americas","Argentina","Unbranded","ps",114,1838,0.062
"Americas","Argentina","Unbranded","pvc",17,1838,0.009
"Americas","Argentina","The Coca-Cola Company","hdpe",0,257,0
"Americas","Argentina","The Coca-Cola Company","ldpe",0,257,0
"Americas","Argentina","The Coca-Cola Company","o",0,257,0
"Americas","Argentina","The Coca-Cola Company","pet",222,257,0.864
"Americas","Argentina","The Coca-Cola Company","pp",35,257,0.136
"Americas","Argentina","The Coca-Cola Company","ps",0,257,0
"Americas","Argentina","The Coca-Cola Company","pvc",0,257,0
"Americas","Argentina","Secco","hdpe",0,43,0
"Americas","Argentina","Secco","ldpe",0,43,0
"Americas","Argentina","Secco","o",0,43,0
"Americas","Argentina","Secco","pet",39,43,0.907
"Americas","Argentina","Secco","pp",4,43,0.093
"Americas","Argentina","Secco","ps",0,43,0
"Americas","Argentina","Secco","pvc",0,43,0
"Americas","Argentina","Doble Cola","hdpe",0,38,0
"Americas","Argentina","Doble Cola","ldpe",0,38,0
"Americas","Argentina","Doble Cola","o",0,38,0
"Americas","Argentina","Doble Cola","pet",38,38,1
"Americas","Argentina","Doble Cola","pp",0,38,0
"Americas","Argentina","Doble Cola","ps",0,38,0
"Americas","Argentina","Doble Cola","pvc",0,38,0
"Americas","Argentina","Pritty","hdpe",0,29,0
"Americas","Argentina","Pritty","ldpe",0,29,0
"Americas","Argentina","Pritty","o",0,29,0
"Americas","Argentina","Pritty","pet",22,29,0.759
"Americas","Argentina","Pritty","pp",7,29,0.241
"Americas","Argentina","Pritty","ps",0,29,0
"Americas","Argentina","Pritty","pvc",0,29,0
"Americas","Argentina","PepsiCo","hdpe",0,27,0
"Americas","Argentina","PepsiCo","ldpe",0,27,0
"Americas","Argentina","PepsiCo","o",0,27,0
"Americas","Argentina","PepsiCo","pet",21,27,0.778
"Americas","Argentina","PepsiCo","pp",6,27,0.222
"Americas","Argentina","PepsiCo","ps",0,27,0
"Americas","Argentina","PepsiCo","pvc",0,27,0
"Americas","Argentina","Casoni","hdpe",0,26,0
"Americas","Argentina","Casoni","ldpe",0,26,0
"Americas","Argentina","Casoni","o",0,26,0
"Americas","Argentina","Casoni","pet",26,26,1
"Americas","Argentina","Casoni","pp",0,26,0
"Americas","Argentina","Casoni","ps",0,26,0
"Americas","Argentina","Casoni","pvc",0,26,0
"Americas","Argentina","Villa Del Sur - Levite","hdpe",0,20,0
"Americas","Argentina","Villa Del Sur - Levite","ldpe",0,20,0
"Americas","Argentina","Villa Del Sur - Levite","o",0,20,0
"Americas","Argentina","Villa Del Sur - Levite","pet",19,20,0.95
"Americas","Argentina","Villa Del Sur - Levite","pp",1,20,0.05
"Americas","Argentina","Villa Del Sur - Levite","ps",0,20,0
"Americas","Argentina","Villa Del Sur - Levite","pvc",0,20,0
"Americas","Argentina","Manaos","hdpe",0,18,0
"Americas","Argentina","Manaos","ldpe",0,18,0
"Americas","Argentina","Manaos","o",0,18,0
"Americas","Argentina","Manaos","pet",14,18,0.778
"Americas","Argentina","Manaos","pp",4,18,0.222
"Americas","Argentina","Manaos","ps",0,18,0
"Americas","Argentina","Manaos","pvc",0,18,0
"Americas","Argentina","La Bichy Ahora","hdpe",0,17,0
"Americas","Argentina","La Bichy Ahora","ldpe",0,17,0
"Americas","Argentina","La Bichy Ahora","o",0,17,0
"Americas","Argentina","La Bichy Ahora","pet",14,17,0.824
"Americas","Argentina","La Bichy Ahora","pp",3,17,0.176
"Americas","Argentina","La Bichy Ahora","ps",0,17,0
"Americas","Argentina","La Bichy Ahora","pvc",0,17,0
"Americas","Argentina","Villavicencio","hdpe",0,15,0
"Americas","Argentina","Villavicencio","ldpe",0,15,0
"Americas","Argentina","Villavicencio","o",0,15,0
"Americas","Argentina","Villavicencio","pet",14,15,0.933
"Americas","Argentina","Villavicencio","pp",1,15,0.067
"Americas","Argentina","Villavicencio","ps",0,15,0
"Americas","Argentina","Villavicencio","pvc",0,15,0
"Americas","Argentina","Eco De Los Andes","hdpe",0,14,0
"Americas","Argentina","Eco De Los Andes","ldpe",0,14,0
"Americas","Argentina","Eco De Los Andes","o",0,14,0
"Americas","Argentina","Eco De Los Andes","pet",14,14,1
"Americas","Argentina","Eco De Los Andes","pp",0,14,0
"Americas","Argentina","Eco De Los Andes","ps",0,14,0
"Americas","Argentina","Eco De Los Andes","pvc",0,14,0
"Americas","Argentina","Cavatini","hdpe",0,13,0
"Americas","Argentina","Cavatini","ldpe",0,13,0
"Americas","Argentina","Cavatini","o",13,13,1
"Americas","Argentina","Cavatini","pet",0,13,0
"Americas","Argentina","Cavatini","pp",0,13,0
"Americas","Argentina","Cavatini","ps",0,13,0
"Americas","Argentina","Cavatini","pvc",0,13,0
"Americas","Argentina","Villa Del Sur","hdpe",0,11,0
"Americas","Argentina","Villa Del Sur","ldpe",0,11,0
"Americas","Argentina","Villa Del Sur","o",0,11,0
"Americas","Argentina","Villa Del Sur","pet",8,11,0.727
"Americas","Argentina","Villa Del Sur","pp",3,11,0.273
"Americas","Argentina","Villa Del Sur","ps",0,11,0
"Americas","Argentina","Villa Del Sur","pvc",0,11,0
"Americas","Argentina","Cepita","hdpe",0,9,0
"Americas","Argentina","Cepita","ldpe",0,9,0
"Americas","Argentina","Cepita","o",0,9,0
"Americas","Argentina","Cepita","pet",9,9,1
"Americas","Argentina","Cepita","pp",0,9,0
"Americas","Argentina","Cepita","ps",0,9,0
"Americas","Argentina","Cepita","pvc",0,9,0
"Americas","Argentina","Livra","hdpe",0,9,0
"Americas","Argentina","Livra","ldpe",0,9,0
"Americas","Argentina","Livra","o",0,9,0
"Americas","Argentina","Livra","pet",5,9,0.556
"Americas","Argentina","Livra","pp",4,9,0.444
"Americas","Argentina","Livra","ps",0,9,0
"Americas","Argentina","Livra","pvc",0,9,0
"Americas","Argentina","Nestlé","hdpe",1,9,0.111
"Americas","Argentina","Nestlé","ldpe",0,9,0
"Americas","Argentina","Nestlé","o",0,9,0
"Americas","Argentina","Nestlé","pet",6,9,0.667
"Americas","Argentina","Nestlé","pp",2,9,0.222
"Americas","Argentina","Nestlé","ps",0,9,0
"Americas","Argentina","Nestlé","pvc",0,9,0
"Americas","Argentina","Vino Toro","hdpe",0,8,0
"Americas","Argentina","Vino Toro","ldpe",0,8,0
"Americas","Argentina","Vino Toro","o",8,8,1
"Americas","Argentina","Vino Toro","pet",0,8,0
"Americas","Argentina","Vino Toro","pp",0,8,0
"Americas","Argentina","Vino Toro","ps",0,8,0
"Americas","Argentina","Vino Toro","pvc",0,8,0
"Americas","Argentina","Frutafiel","hdpe",0,7,0
"Americas","Argentina","Frutafiel","ldpe",0,7,0
"Americas","Argentina","Frutafiel","o",0,7,0
"Americas","Argentina","Frutafiel","pet",6,7,0.857
"Americas","Argentina","Frutafiel","pp",1,7,0.143
"Americas","Argentina","Frutafiel","ps",0,7,0
"Americas","Argentina","Frutafiel","pvc",0,7,0
"Americas","Argentina","Unilever","hdpe",1,7,0.143
"Americas","Argentina","Unilever","ldpe",0,7,0
