"continent","country","n_pieces","n_volunteers","n_events"
"Afrika","Benin",4988,2328,1
"Afrika","Burkina Faso",5818,235,1
"Afrika","Elfenbeinküste",53,1500,1
"Afrika","Ghana",578,1100,3
"Afrika","Kamerun",8595,387,10
"Afrika","Kenia",9494,1560,5
"Afrika","Nigeria",80570,1648,14
"Afrika","Ruanda",413,82,2
"Afrika","Südafrika",905,511,2
"Afrika","Tansania",1263,103,21
"Afrika","Tunesien",40,32,1
"Amerika","Argentinien",2668,243,4
"Amerika","Brasilien",4734,419,3
"Amerika","Ecuador",12715,455,1
"Amerika","Kanada",1,9,1
"Amerika","Kolumbien",856,5253,1
"Amerika","Mexiko",638,48,7
"Amerika","Vereinigte Staaten",4314,740,42
"Asien","Bangladesch",16,100,1
"Asien","Bhutan",3500,5300,1
"Asien","China",3459,1439,48
"Asien","Hongkong",3708,67,7
"Asien","Indien",2066,88,4
"Asien","Indonesien",13309,6850,32
"Asien","Japan",84,1293,35
"Asien","Malaysia",4880,300,1
"Asien","Malediven",26,2,1
"Asien","Philippinen",37016,3751,20
"Asien","Sri Lanka",3871,48,2
"Asien","Taiwan",120646,31318,2
"Asien","Thailand",369,374,5
"Asien","Türkei",178,312,4
"Asien","Vereinigte Arabische Emirate",12,3,1
"Asien","Vietnam",10887,400,4
"Asien","Zypern",24,30,1
"Europa","Bulgarien",8,15,1
"Europa","Deutschland",281,15,2
"Europa","Frankreich",15,13,1
"Europa","Großbritannien",3,21,1
"Europa","Irland",1,1,1
"Europa","Italien",690,175,9
"Europa","Lettland",2623,13,1
"Europa","Luxemburg",1,21,1
"Europa","Montenegro",4642,563,1
"Europa","Niederlande",5067,827,2
"Europa","Portugal",1004,43,2
"Europa","Schweiz",7501,327,6
"Europa","Slowenien",914,9,1
"Europa","Spanien",1991,330,12
"Europa","Ukraine",4838,114,7
"Ozeanien","Australien",3,5,1
